name,row_code,value,per_with_previous_year,year
Дополнительно начислено платежей по результатам налоговых проверок (млн. руб.),401,572.45,107.0,2014
ВСЕГО НАЛОГОВЫХ ПРОВЕРОК (единиц),401,"88,169",101.1,2015
ВСЕГО НАЛОГОВЫХ ПРОВЕРОК (единиц),401,"106,876",121.2,2016
из них: по выездным проверкам (млн. руб.),402,386.46,100.6,2014
из них: выявивших нарушения (единиц),402,"8,669",97.5,2015
из них: выявивших нарушения (единиц),402,"9,338",107.7,2016
Количество проведенных выездных налоговых проверок организаций (единиц),403,113,95.8,2014
Дополнительно начислено платежей по выездным и камеральным проверкам  (млн. руб.),403,552.8,111.7,2015
Дополнительно начислено платежей по выездным и камеральным проверкам  (млн. руб.),403,675.2,125.8,2016
из них: выявивших нарушения,404,113,96.6,2014
"Дополнительно начислено на 1 проверку, выявившую нарушения (тыс.руб.)",404,63.8,114.6,2015
"Дополнительно начислено на 1 проверку, выявившую нарушения (тыс.руб.)",404,72.3,116.8,2016
Дополнительно начислено платежей по результатам выездных проверок организаций (млн. руб.),405,353.08,112.8,2014
КОЛИЧЕСТВО ВЫЕЗДНЫХ НАЛОГОВЫХ ПРОВЕРОК (единиц),405,119,74.8,2015
КОЛИЧЕСТВО ВЫЕЗДНЫХ НАЛОГОВЫХ ПРОВЕРОК (единиц),405,74,62.2,2016
Количество проведенных выездных налоговых проверок физических лиц (единиц),406,8,53.3,2014
из них: выявивших нарушения (единиц),406,119,74.8,2015
из них: выявивших нарушения (единиц),406,74,62.2,2016
из них: выявивших нарушения,407,8,53.3,2014
Дополнительно начислено платежей по выездным проверкам (включая налоговые санкции и пени) (млн. руб.),407,441.4,114.2,2015
Дополнительно начислено платежей по выездным проверкам (включая налоговые санкции и пени) (млн. руб.),407,343.3,80.7,2016
Дополнительно начислено платежей по результатам выездных проверок физических лиц (млн. руб.),408,6.77,32.8,2014
"Дополнительно начислено платежей на 1 выездную проверку, выявившую нарушения  (тыс.руб.)",408,"3,708.8",152.6,2015
"Дополнительно начислено платежей на 1 выездную проверку, выявившую нарушения  (тыс.руб.)",408,"4,638.5",129.8,2016
Удельный вес результативных выездных налоговых проверок (%),409,100.0,X,2014
Количество выездных налоговых проверок организаций (единиц),409,99,87.61,2015
Количество выездных налоговых проверок организаций (единиц),409,69,69.7,2016
Удельный вес дополнительно начисленных платежей по результатам выездных налоговых проверок в общей сумме поступлений администрируемых доходов в бюджетную систему Российской Федерации (%),410,4.1,X,2014
из них: выявивших нарушения (единиц),410,99,87.61,2015
из них: выявивших нарушения (единиц),410,69,69.7,2016
Дополнительно начислено платежей по выездным проверкам организаций (включая налоговые санкции и пени) (млн. руб.),411,428.1,121.24,2015
Дополнительно начислено платежей по выездным проверкам организаций (включая налоговые санкции и пени) (млн. руб.),411,335.0,81.3,2016
"Дополнительно начислено платежей на 1 выездную проверку организаций, выявившую нарушения (тыс.руб.)",412,"4,323.8",138.4,2015
"Дополнительно начислено платежей на 1 выездную проверку организаций, выявившую нарушения (тыс.руб.)",412,"4,855.2",116.6,2016
КОЛИЧЕСТВО КАМЕРАЛЬНЫХ НАЛОГОВЫХ ПРОВЕРОК (единиц),413,"88,050",101.1,2015
КОЛИЧЕСТВО КАМЕРАЛЬНЫХ НАЛОГОВЫХ ПРОВЕРОК (единиц),413,"106,802",121.3,2016
из них выявивших нарушения (единиц),414,"8,550",97.9,2015
из них выявивших нарушения (единиц),414,"9,264",108.4,2016
Дополнительно начислено платежей по камеральным проверкам (включая налоговые санкции и пени) (млн. руб.),415,111.4,102.9,2015
Дополнительно начислено платежей по камеральным проверкам (включая налоговые санкции и пени) (млн. руб.),415,332.0,297.9,2016
"Дополнительно начислено платежей на 1 камеральную налоговую проверку, выявившую нарушения (тыс.руб.)",416,13.0,105.1,2015
"Дополнительно начислено платежей на 1 камеральную налоговую проверку, выявившую нарушения (тыс.руб.)",416,35.8,274.9,2016
