name,row_code,value,per_with_previous_year,year
ПО НАЛОГУ НА ПРИБЫЛЬ ОРГАНИЗАЦИЙ,301,23.55,109.8,2014
ПО НАЛОГУ НА ПРИБЫЛЬ ОРГАНИЗАЦИЙ,301,35.8,151.9,2015
ПО НАЛОГУ НА ПРИБЫЛЬ ОРГАНИЗАЦИЙ,301,281.4,786.9,2016
В связи с установлением законодательными (представительными) органами субъектов Российской Федерации пониженной ставки налога для отдельных категорий налогоплательщиков,302,0.00,0.0,2014
В связи с установлением законодательными (представительными) органами субъектов Российской Федерации пониженной ставки налога для отдельных категорий налогоплательщиков,302,0.0,0.0,2015
В связи с установлением законодательными (представительными) органами субъектов Российской Федерации пониженной ставки налога для отдельных категорий налогоплательщиков,302,0.0,0.0,2016
ПО НАЛОГУ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ,303,66.17,92.2,2014
ПО НАЛОГУ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ,303,126.2,190.8,2015
ПО НАЛОГУ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ,303,135.02,106.96,2016
"По льготам, установленным ст. 381, 385.1 НК РФ, по льготам, предоставляемым в соответствии со ст. 7 НК РФ международными договорами Российской Федерации и в соответствии с п.7 ст.346.35 НК РФ инвесторам по СРП",304,15.84,69.5,2014
"По льготам, установленным ст. 381, 385.1 НК РФ, по льготам, предоставляемым в соответствии со ст. 7 НК РФ международными договорами Российской Федерации и в соответствии с п.7 ст.346.35 НК РФ инвесторам по СРП",304,82.3,519.6,2015
"По льготам, установленным ст. 381, 385.1 НК РФ, по льготам, предоставляемым в соответствии со ст. 7 НК РФ международными договорами Российской Федерации и в соответствии с п.7 ст.346.35 НК РФ инвесторам по СРП",304,103.94,126.24,2016
"По льготам,установленным в соответствии с п.2 ст.372 НК РФ органами законодательной власти субъектов РФ",305,50.33,102.8,2014
"По льготам,установленным в соответствии с п.2 ст.372 НК РФ органами законодательной власти субъектов РФ",305,43.9,87.2,2015
"По льготам,установленным в соответствии с п.2 ст.372 НК РФ органами законодательной власти субъектов РФ",305,31.08,70.81,2016
ПО НАЛОГУ НА ДОБЫЧУ ПОЛЕЗНЫХ ИСКОПАЕМЫХ,306,0.05,34.3,2014
ПО ЗЕМЕЛЬНОМУ НАЛОГУ,306,0.0,0.0,2015
ПО ЗЕМЕЛЬНОМУ НАЛОГУ,306,77.81,90.49,2016
ПО ЗЕМЕЛЬНОМУ НАЛОГУ,307,63.41,105.9,2014
по земельному налогу по юридическим лицам,307,0.0,0.0,2015
по земельному налогу по юридическим лицам,307,65.40,88.29,2016
ПО ТРАНСПОРТНОМУ НАЛОГУ,308,49.30,111.8,2014
по земельному налогу по физическим лицам,308,0.0,0.0,2015
по земельному налогу по физическим лицам,308,12.41,104.17,2016
"По льготам, установленным законодательством субъектов Российской Федерации",309,49.29,111.7,2014
"по льготам, установленным в соответствии с нормативными правовыми актами представительных органов муниципальных образований (законами городов федерального значения Москвы и Санкт- Петербурга)",309,0.0,0.0,2015
"по льготам, установленным в соответствии с нормативными правовыми актами представительных органов муниципальных образований (законами городов федерального значения Москвы, Санкт- Петербурга и Севастополя)",309,48.88,103.28,2016
ПО НАЛОГУ НА ИМУЩЕСТВО ФИЗИЧЕСКИХ ЛИЦ,310,35.90,100.3,2014
ПО ТРАНСПОРТНОМУ НАЛОГУ,310,67.8,137.4,2015
ПО ТРАНСПОРТНОМУ НАЛОГУ,310,75.18,110.96,2016
по транспортному налогу по организациям,311,0.0,3.7,2015
по транспортному налогу по организациям,311,4.19,"34,891.67",2016
по транспортному налогу по физическим лицам,312,67.7,138.3,2015
по транспортному налогу по физическим лицам,312,71.00,104.80,2016
"По льготам, установленным законодательством субъектов Российской Федерации",313,0.0,136.0,2015
"По льготам, установленным законодательством субъектов Российской Федерации",313,68.11,101.58,2016
ПО НАЛОГУ НА ИМУЩЕСТВО ФИЗИЧЕСКИХ ЛИЦ,314,0.0,0.0,2015
ПО НАЛОГУ НА ИМУЩЕСТВО ФИЗИЧЕСКИХ ЛИЦ,314,60.71,134.24,2016
