name,row_name,не текущий год,year
Сумма прибыли по прибыльным организациям (млн.руб.),1100,"2,586.00",2014
Сумма прибыли по прибыльным организациям (млн.руб.),1100,"3,702.0",2015
Сумма прибыли по прибыльным организациям (млн.руб.),1100,"3,291.0",2016
"Доходы от реализации, включая внереализационные доходы (млн. руб.)",1101,"81,865.82",2014
"Доходы от реализации, включая внереализационные доходы (млн. руб.)",1101,"89,728.3",2015
"Доходы от реализации, включая внереализационные доходы (млн. руб.)",1101,"98,405.8",2016
"Отношение к прибыли прибыльных организаций, %",1101.1,"3,165.7",2014
"Отношение к прибыли прибыльных организаций, %",1101.1,"2,423.8",2015
"Отношение к прибыли прибыльных организаций, %",1101.1,"2,990.1",2016
"Расходы, уменьшающие сумму доходов от реализации, включая внереализационные расходы (млн. руб.)",1102,"79,139.07",2014
"Расходы, уменьшающие сумму доходов от реализации, включая внереализационные расходы (млн. руб.)",1102,"86,127.7",2015
"Расходы, уменьшающие сумму доходов от реализации, включая внереализационные расходы (млн. руб.)",1102,"93,144.7",2016
"Отношение к доходам от реализации, включая внереализационные доходы, %",1102.1,96.7,2014
"Отношение к доходам от реализации, включая внереализационные доходы, %",1102.1,96.0,2015
"Отношение к доходам от реализации, включая внереализационные доходы, %",1102.1,94.7,2016
"Доходы, исключаемые из прибыли (млн. руб.)",1103,0.58,2014
"Доходы, исключаемые из прибыли (млн. руб.)",1103,3.9,2015
"Доходы, исключаемые из прибыли (млн. руб.)",1103,1.3,2016
"Отношение к доходам от реализации, включая внереализационные доходы, %",1103.1,0.0,2014
"Отношение к доходам от реализации, включая внереализационные доходы, %",1103.1,0.0,2015
"Отношение к доходам от реализации, включая внереализационные доходы, %",1103.1,0.0,2016
Налоговая база по налогу на прибыль (млн. руб.),1104,"2,740.61",2014
Налоговая база по налогу на прибыль (млн. руб.),1104,"3,445.4",2015
Налоговая база по налогу на прибыль (млн. руб.),1104,"3,967.8",2016
"Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период  (млн. руб.)",1105,117.72,2014
"Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период  (млн. руб.)",1105,178.8,2015
"Сумма убытка или части убытка, уменьшающего налоговую базу за отчетный (налоговый) период  (млн. руб.)",1105,"1,407.0",2016
"Отношение к налоговой базе по налогу на прибыль, %",1105.1,4.3,2014
"Отношение к налоговой базе по налогу на прибыль, %",1105.1,5.2,2015
"Отношение к налоговой базе по налогу на прибыль, %",1105.1,35.5,2016
Налоговая база для исчисления налога (млн. руб.),1106,"2,677.03",2014
Налоговая база для исчисления налога (млн. руб.),1106,"3,446.3",2015
Налоговая база для исчисления налога (млн. руб.),1106,"3,967.8",2016
Сумма исчисленного налога на прибыль  - всего (млн.руб.),1107,"162,113.33",2014
Сумма исчисленного налога на прибыль  - всего (млн.руб.),1107,"161,995.6",2015
Сумма исчисленного налога на прибыль  - всего (млн.руб.),1107,"161,993.0",2016
"Значение поправочного коэффициента  (К)  для расчёта оценки и прогноза показателя ""Сумма исчисленного налога на прибыль - всего (млн. руб.)""  (вводится в ручном режиме)",1107.1,,2014
"Значение поправочного коэффициента  (К)  для расчёта оценки и прогноза показателя ""Сумма исчисленного налога на прибыль - всего (млн. руб.)""  (вводится в ручном режиме)",1107.1,,2015
"Значение поправочного коэффициента  (К)  для расчёта оценки и прогноза показателя ""Сумма исчисленного налога на прибыль - всего (млн. руб.)""  (вводится в ручном режиме)",1107.1,,2016
"Среднее значение цены нефти на мировых рынках марки ""Urals"" ($/баррель)",1108,97.60,2014
"Среднее значение цены нефти на мировых рынках марки ""Urals"" ($/баррель)",1108,51.0,2015
"Среднее значение цены нефти на мировых рынках марки ""Urals"" ($/баррель)",1108,41.7,2016
Курс доллара (рублей),1108.1,38.40,2014
Курс доллара (рублей),1108.1,60.98,2015
Курс доллара (рублей),1108.1,67.1,2016
"Коэффициент, характеризующий динамику мировых цен на нефть",1108.2,12.15,2014
"Коэффициент, характеризующий динамику мировых цен на нефть",1108.2,8.4,2015
"Коэффициент, характеризующий динамику мировых цен на нефть",1108.2,6.9,2016
Объем добычи нефти (тыс. тонн),1109,0.00,2014
Объем добычи нефти (тыс. тонн),1109,0.0,2015
Объем добычи нефти (тыс. тонн),1109,0.0,2016
Сумма налога на добычу нефти (млн. рублей) *,1109.1,0.00,2014
Сумма налога на добычу нефти (млн. рублей) *,1109.1,0.0,2015
Сумма налога на добычу нефти (млн. рублей) *,1109.1,0.0,2016
Объем добычи природного газа  (млн. м. куб.),1110,321.00,2014
Объем добычи природного газа  (млн. м. куб.),1110,293.0,2015
Объем добычи природного газа  (млн. м. куб.),1110,380.0,2016
Объем добычи природного газа  ЕСГ (млн. м. куб.),1110.1,X,2014
Объем добычи природного газа  ЕСГ (млн. м. куб.),1110.1,X,2015
Объем добычи природного газа  ЕСГ (млн. м. куб.),1110.1,X,2016
Сумма налога на добычу природного газа (млн. рублей) **,1110.2,129.40,2014
Сумма налога на добычу природного газа (млн. рублей) **,1110.2,87.2,2015
Сумма налога на добычу природного газа (млн. рублей) **,1110.2,112.3,2016
Объем добычи газового конденсата (тыс. тонн),1111,2.00,2014
Объем добычи газового конденсата (тыс. тонн),1111,2.0,2015
Объем добычи газового конденсата (тыс. тонн),1111,3.0,2016
Сумма налога на добычу газового конденсата (млн. рублей) **,1111.1,1.04,2014
Сумма налога на добычу газового конденсата (млн. рублей) **,1111.1,3.6,2015
Сумма налога на добычу газового конденсата (млн. рублей) **,1111.1,6.7,2016
Поступление налога (млн. руб.),1112,858.12,2014
Поступление налога (млн. руб.),1112,930.1,2015
Поступление налога (млн. руб.),1112,965.4,2016
"темп роста, %",1112.1,100.1,2014
"темп роста, %",1112.1,108.4,2015
"темп роста, %",1112.1,103.8,2016
