name,row_code,Поступило в консолидированный бюджет Российской Федерации: Всего,Поступило в консолидированный бюджет Российской Федерации: В % к предыдущему периоду,Поступило в консолидированный бюджет Российской Федерации: Удельный вес (%),в том числе: В федеральный бюджет: Всего,в том числе: В федеральный бюджет: В % к предыдущему периоду,в том числе: В федеральный бюджет: Удельный вес (%),в том числе: В консолидированный бюджет субъекта РФ: всего,в том числе: В консолидированный бюджет субъекта РФ: В % к предыдущему периоду,в том числе: В консолидированный бюджет субъекта РФ: Удельный вес (%),в том числе: из него: всего,в том числе: из него: В % к предыдущему периоду,year
ВСЕГО ПО АДМИНИСТРИРУЕМЫМ ДОХОДАМ,501,"9,529.76",112.4,100,"1,714.21",147.8,100,"7,815.55",106.8,100,"2,039.2",81.9,2014
ВСЕГО ПО АДМИНИСТРИРУЕМЫМ ДОХОДАМ,501,"10,761.5",112.9,100,"2,509.7",146.4,100,"8,251.8",105.6,100,"2,206.3",108.2,2015
ВСЕГО ПО АДМИНИСТРИРУЕМЫМ ДОХОДАМ,501,"12,724.1",118.2,100,"3,237.3",129.0,100,"9,486.8",115.0,100,"2,422.3",109.8,2016
Налог на прибыль организации,502,"1,609.54",105.4,16.9,54.97,116.1,3.2,"1,554.57",105.1,19.9,0.0,0.0,2014
Налог на прибыль организации,502,"1,505.2",93.5,14.0,80.7,146.8,3.2,"1,424.5",91.6,17.3,0.0,0.0,2015
Налог на прибыль организации,502,"1,734.0",115.2,13.6,79.6,98.6,2.5,"1,654.4",116.1,17.4,0.0,0.0,2016
Налог на доходы физических лиц,503,"3,463.36",105.1,36.3,21.19,X,1.2,"3,442.17",104.4,44.0,"1,032.7",78.6,2014
Налог на доходы физических лиц,503,"3,549.4",102.5,33.0,X,X,X,"3,549.4",103.1,43.0,"1,059.3",102.6,2015
Налог на доходы физических лиц,503,"3,680.8",103.7,28.9,X,X,X,"3,680.8",103.7,38.8,"1,094.7",103.3,2016
"Налог на добавленную стоимость на товары, реализуемые на территории РФ",504,"1,232.04",142.6,12.9,"1,232.04",142.6,71.9,X,X,X,X,X,2014
"Налог на добавленную стоимость на товары, реализуемые на территории Российской Федерации",504,"1,869.5",151.7,17.4,"1,869.5",151.7,74.5,X,X,X,X,X,2015
"Налог на добавленную стоимость на товары, реализуемые на территории Российской Федерации",504,"1,723.0",92.2,13.5,"1,723.0",92.2,53.2,X,X,X,X,X,2016
"Акцизы по подакцизным товарам (продукции), производимым на территории РФ",505,868.52,143.4,9.1,231.65,266.9,13.5,636.87,122.7,8.1,0.0,X,2014
"Налог на добавленную стоимость на товары, ввозимые на территорию Российской Федерации",505,16.8,106.5,0.2,16.8,106.5,0.7,X,X,X,X,X,2015
"Налог на добавленную стоимость на товары, ввозимые на территорию Российской Федерации",505,44.0,261.7,0.3,44.0,261.7,1.4,X,X,X,X,X,2016
на спирт этиловый (в т.ч. этиловый спирт-сырец) из всех видов сырья,506,2.31,"38,466.7",0.0,1.15,"38,466.7",0.1,1.15,"38,466.7",0.0,0.0,X,2014
