row_name,row_code,name,post_code,email,phone,fax,year
Полномочный представитель Президента Российской Федерации в федеральном округе,1,Устинов Владимир Васильевич,"344052, г. Ростов-на-Дону, ул. Б.Садовая, 73",apparat@ufo.gov.ru,(863)244-16-16,(863)240-39-40,2016
Заместитель полномочного представителя Президента Российской Федерации в федеральном округе,2,Гурба Владимир Николаевич,"344052, г. Ростов-на-Дону, ул. Б.Садовая,73",desp@ufo.gov.ru,(863)249-97-57,(863)249-97-41,2016
Глава администрации субъекта Российской Федерации,3,Кумпилов Мурат Каральбиевич,"385000, Республика Адыгея, г. Майкоп, ул. Жуковского,22",glava01@adygheya.ru,(8772)57-19-00,(8772)57-15-25,2016
Заместитель главы администрации субъекта Российской Федерации,4,Широкова Наталья Сергеевна,"385000, Республика Адыгея, г. Майкоп, ул. Пионерская, 199",premier@adygheya.ru,(8772)57-00-22,(8772)57-01-47,2016
Заместитель главы администрации субъекта Российской Федерации,5,,,,,,2016
Руководитель Управления ФНС России по субъекту Российской Федерации,6,Дышеков Адам Авесович,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772)56-96-13,(8772)56-36-12,2016
Заместитель Руководителя Управления ФНС России по субъекту Российской Федерации,7,Даргушаов Аскарбий Касимович,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772)56-84-89,(8772)56-36-12,2016
Заместитель Руководителя Управления ФНС России по субъекту Российской Федерации,8,Мигаенко Марина Владимировна,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772)56-96-06,(8772)56-36-12,2016
Полномочный представитель Президента Российской Федерации в федеральном округе,1,Устинов Владимир Васильевич,"344052, г. Ростов-на-Дону, ул. Б.Садовая, 73",apparat@ufo.gov.ru,(863) 244-16-16,(863) 240-39-40,2015
Заместитель полномочного представителя Президента Российской Федерации в федеральном округе,2,Гурба Владимир Николаевич,"344052, г. Ростов-на-Дону, ул. Б.Садовая, 73",desp@ifo.gov.ru,(863) 249-97-57,(863) 249-97-41,2015
Глава администрации субъекта Российской Федерации,3,Тхакушинов Асланчерий Китович,"385000, Республика Адыгея, г. Майкоп, ул. Жуковского, 22",glava01@adygheya.ru,(8772) 57-19-00,(8772) 57-01-47,2015
Заместитель главы администрации субъекта Российской Федерации,4,Кумпилов Мурат Каральбиевич,"385000, Республика Адыгея, г. Майкоп, ул. Пианерская, 199",premier@adygheya.ru,(8772) 57-00-22,(8772) 57-01-47,2015
Заместитель главы администрации субъекта Российской Федерации,5,,,,,,2015
Руководитель Управления ФНС России по субъекту Российской Федерации,6,Дышеков Адам Авесович,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772) 56-96-13,(8772) 56-36-12,2015
Заместитель Руководителя Управления ФНС России по субъекту Российской Федерации,7,Даргушаов Аскарбий Касимович,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772) 56-96-13,(8772) 56-36-12,2015
Заместитель Руководителя Управления ФНС России по субъекту Российской Федерации,8,Мигаенко Марина Владимировна,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772) 56-96-06,(8772) 56-36-12,2015
Полномочный представитель Президента Российской Федерации в федеральном округе,1,Устинов Владимир Васильевич,"344052, г. Ростов-на-Дону,    ул. Б.Садовая, 73.",desp@ifo.gov.ru,(863) 244-16-16,(863) 240-39-40,2014
Заместитель полномочного представителя Президента Российской Федерации в федеральном округе,2,Гурба Владимир Николаевич,"344052, г. Ростов-на-Дону,    ул. Б.Садовая, 73.",desp@ifo.gov.ru,(863) 249-97-57,(863) 249-97-41,2014
Глава администрации субъекта Российской Федерации,3,Тхакушинов Асланчерий Китович,"385000, Республика Адыгея,     г. Майкоп, ул. Жуковского,22",president@adygheya.ru,(8772) 57-19-00,(8772) 57-01-47,2014
Заместитель главы администрации субъекта Российской Федерации,4,Кумпилов Мурат Каральбиевич,"38500, Республика Адыгея,     г. Майкоп, ул. Пионерская, 199",premier@adygheya.ru,(8772) 57-00-22,(8772) 57-01-47,2014
Заместитель главы администрации субъекта Российской Федерации,5,,,,,,2014
Руководитель Управления ФНС России по субъекту Российской Федерации,6,Дышеков Адам Авесович ,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772) 56-96-13,(8772) 56-36-12,2014
Заместитель Руководителя Управления ФНС России по субъекту Российской Федерации,7,Даргушаов Аскарбий Касимович,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772) 56-96-13,(8772) 56-36-12,2014
Заместитель Руководителя Управления ФНС России по субъекту Российской Федерации,8,Мигаенко Марина Владимировна,"385000, Республика Адыгея, г. Майкоп, ул. Привокзальная, 331",u01@r01.nalog.ru,(8772) 56-96-06,(8772) 56-36-12,2014
